,0,1,2,3
period,2004_2008,2009_2013,2014_2018,2019_2022
node_num,20,44,40,34
edge_num,11,124,116,53
graph_density,0.02894736842105263,0.06553911205073996,0.07435897435897436,0.04723707664884135
bidirected_num,2,38,40,16
triad_030T_num,1,27,25,8
triad_030C_num,0,5,1,1
wcc_num,11,3,7,7
largest_wcc_node_num,8,42,34,27
largest_wcc_edge_num,9,124,116,52
diameter_undirected_largest_wcc,3,5,4,6
gcc,0.1875,0.3308550185873606,0.3889655172413793,0.32085561497326204
power_law_alpha,4.9891564176550665,5.360527580429364,9.050535002006018,3.03292396250277
